corp_code,bsns_year,rcept_no,status,n_fields_found,composite_current,composite_original,is_flagged_original,original_accounts_json,top_contributors_original
00231372,2021,20220317000948,정상,11,12.32336047349626,12.32336047349626,1,"{""revenue"": 107071758778.0, ""cogs"": 238322024871.0, ""operating_income"": -131250266093.0, ""sga"": null, ""interest_expense"": 71796231902.0, ""net_income"": -200695718343.0, ""trade_receivables"": 2551877845.0, ""inventory"": 6636477060.0, ""total_assets"": 1302424556614.0, ""total_liabilities"": 1249736890563.0, ""total_equity"": 52687666051.0, ""operating_cf"": -50901377865.0}","[[""debt_ratio"", 17.934541902365225], [""gp_margin"", -15.76712238835905], [""receivables_turnover"", 3.268417129764504]]"
00232007,2021,20220323001270,정상,12,13.874376553573535,15.46534606518951,1,"{""revenue"": 22352990038.0, ""cogs"": 16492056971.0, ""operating_income"": -14673269825.0, ""sga"": 20534202892.0, ""interest_expense"": 42702793050.0, ""net_income"": -39496543184.0, ""trade_receivables"": 13040188563.0, ""inventory"": 35741970932.0, ""total_assets"": 134685844415.0, ""total_liabilities"": 77338625494.0, ""total_equity"": 57347218921.0, ""operating_cf"": 2737745376.0}","[[""sga_ratio"", 31.47188726751716], [""operating_margin"", -11.427465587648175], [""gp_margin"", 3.496685340403191]]"
00232007,2024,20250321001587,정상,12,12.82933709246705,12.908376146601043,1,"{""revenue"": 20428414745.0, ""cogs"": 23631234570.0, ""operating_income"": -21767056471.0, ""sga"": 18564236646.0, ""interest_expense"": 12023006664.0, ""net_income"": -26742551168.0, ""trade_receivables"": 58389473383.0, ""inventory"": 68588272914.0, ""total_assets"": 200598655166.0, ""total_liabilities"": 112766265971.0, ""total_equity"": 87832389195.0, ""operating_cf"": 3567483353.0}","[[""sga_ratio"", 15.73340231832929], [""operating_margin"", -14.476593026999964], [""revenue_growth"", -8.515133094473876]]"
00238782,2023,20240321001853,정상,12,37.27429348700102,35.824046691699046,1,"{""revenue"": 10334025110546.0, ""cogs"": 8888687949474.0, ""operating_income"": 667942798550.0, ""sga"": 777394362522.0, ""interest_expense"": 33446891549.0, ""net_income"": 442895796585.0, ""trade_receivables"": 109648857949.0, ""inventory"": 5619545856.0, ""total_assets"": 53939863207453.0, ""total_liabilities"": 48223589793288.0, ""total_equity"": 5716273414165.0, ""operating_cf"": -2035425914358.0}","[[""inventory_turnover"", 95.72205016738329], [""receivables_turnover"", 7.508470514792365], [""debt_ratio"", 4.241619392921471]]"
00249982,2022,20230323001409,정상,12,5.061204813930778,5.061204813930778,1,"{""revenue"": 93816087048.0, ""cogs"": 70885243262.0, ""operating_income"": -26845562593.0, ""sga"": 49776406379.0, ""interest_expense"": 15479507003.0, ""net_income"": -41916606098.0, ""trade_receivables"": 30846948570.0, ""inventory"": 1714006183.0, ""total_assets"": 220671725870.0, ""total_liabilities"": 38247330896.0, ""total_equity"": 182424394974.0, ""operating_cf"": 14837102187.0}","[[""total_accruals_ratio"", -6.179040914682135], [""interest_coverage"", -4.626917966035246], [""oi_cfo_gap_ratio"", -4.3776555610749535]]"
00261285,2023,20240320002056,정상,12,5.526514264341485,4.862323281971231,1,"{""revenue"": 44555995015027.0, ""cogs"": 42598871940722.0, ""operating_income"": 1553418857598.0, ""sga"": 403704216707.0, ""interest_expense"": 3030924823546.0, ""net_income"": -747428633334.0, ""trade_receivables"": 6563120000000.0, ""inventory"": 5043153969807.0, ""total_assets"": 57254666338284.0, ""total_liabilities"": 47428628235286.0, ""total_equity"": 9826038102998.0, ""operating_cf"": 5885553657430.0}","[[""total_accruals_ratio"", -5.734295654925643], [""revenue_growth"", -4.592246130763155], [""oi_cfo_gap_ratio"", -4.260428060224894]]"
00263654,2022,20230317000843,정상,12,6.662929292025363,6.662929292025363,1,"{""revenue"": 5062376493.0, ""cogs"": 2023733565.0, ""operating_income"": -28638371344.0, ""sga"": 8334190620.0, ""interest_expense"": 316400169.0, ""net_income"": -27773705664.0, ""trade_receivables"": 1860387824.0, ""inventory"": 1267216347.0, ""total_assets"": 143735698279.0, ""total_liabilities"": 21914692257.0, ""total_equity"": 121821006022.0, ""operating_cf"": -26420974927.0}","[[""operating_margin"", -9.520438440295834], [""interest_coverage"", 6.896570036235283], [""oi_cfo_gap_ratio"", 3.571779399544971]]"
00295857,2022,20230323001218,정상,12,5.754117520649018,5.754117520649018,1,"{""revenue"": 309738210323.0, ""cogs"": 260829841903.0, ""operating_income"": 9415134942.0, ""sga"": 39493233478.0, ""interest_expense"": 15929784966.0, ""net_income"": -17952467845.0, ""trade_receivables"": 45630576577.0, ""inventory"": 74899067791.0, ""total_assets"": 453942342971.0, ""total_liabilities"": 440894399016.0, ""total_equity"": 13047943955.0, ""operating_cf"": 14498173409.0}","[[""debt_ratio"", 16.229494643225777], [""total_accruals_ratio"", -0.6533066766158725], [""sga_ratio"", 0.37955124210540403]]"
00304076,2023,20240318000922,정상,12,8.339588975449058,8.34285202891702,1,"{""revenue"": 417441558585.0, ""cogs"": 364043611785.0, ""operating_income"": 18467923097.0, ""sga"": 34930023703.0, ""interest_expense"": 4375130345.0, ""net_income"": 11265591096.0, ""trade_receivables"": 64896068755.0, ""inventory"": 2551758453.0, ""total_assets"": 396459542336.0, ""total_liabilities"": 226961284973.0, ""total_equity"": 169498257363.0, ""operating_cf"": -9362548371.0}","[[""inventory_turnover"", 22.88283567347181], [""oi_cfo_gap_ratio"", 1.271213953888778], [""total_accruals_ratio"", 0.8745064593904729]]"
00304076,2025,20260319000905,정상,12,9.057645128532519,9.070769826308938,1,"{""revenue"": 463537032859.0, ""cogs"": 480400479045.0, ""operating_income"": -62011659027.0, ""sga"": 45148212841.0, ""interest_expense"": 5171357326.0, ""net_income"": -54413352990.0, ""trade_receivables"": 87267257264.0, ""inventory"": 3359307307.0, ""total_assets"": 387675478988.0, ""total_liabilities"": 263780838342.0, ""total_equity"": 123894640646.0, ""operating_cf"": -35913563936.0}","[[""inventory_turnover"", 22.961679406490862], [""interest_coverage"", -3.0370545593988476], [""debt_ratio"", 1.2135755130371055]]"
